Lines,Lon,VehicleNumber,Time,Lat,Brigade
L-2,21.0294728,35137,2024-01-25 13:14:36,52.0751033,683
L25,21.0350611,35138,2024-01-25 13:14:34,52.0832751,02
L-5,20.9774435,35139,2024-01-25 13:14:32,52.0716228,2
L-2,20.9314746,35141,2024-01-25 13:14:33,51.9947383,684
L19,21.0732848,35151,2024-01-25 10:53:17,51.8898536,783
L17,20.9943338,35153,2024-01-25 13:14:35,52.0505736,691
L19,21.0359095,35154,2024-01-25 13:14:32,52.0274065,692
L13,21.0303118,35155,2024-01-25 09:02:06,52.0614106,03
L13,21.0295083,35156,2024-01-25 13:14:36,52.074679,685
L19,21.0350825,35157,2024-01-25 07:55:34,52.0835171,784
L13,21.0270605,35158,2024-01-25 13:14:36,52.0721173,2
255,20.930998,4200,2024-01-25 13:14:35,52.225288,3
714,20.884344,4201,2024-01-25 13:14:35,52.243305,3
178,20.895924,4202,2024-01-25 13:14:35,52.18565,5
197,20.947348,4203,2024-01-25 13:14:34,52.267761,5
178,21.0003391,4205,2024-01-25 13:14:35,52.2534222,3
178,20.9219834,4208,2024-01-25 11:27:57,52.1965107,011
154,20.9671957,4209,2024-01-25 13:14:35,52.2182297,2
154,20.978029,4211,2024-01-25 13:14:33,52.181824,1
714,20.922256,4213,2024-01-25 09:04:23,52.196442,04
197,20.930237,4214,2024-01-25 13:14:35,52.224968,1
714,20.9137896,4215,2024-01-25 13:14:36,52.2379509,2
255,20.952576,4216,2024-01-25 13:14:28,52.227661,1
149,20.9220767,4217,2024-01-25 11:45:48,52.1964759,764
154,20.970102,4218,2024-01-25 13:14:35,52.183006,4
154,20.97172,4219,2024-01-25 13:14:31,52.219589,3
714,20.831841,4220,2024-01-25 13:14:35,52.261005,1
122,20.9006892,4221,2024-01-25 13:14:35,52.2391396,6
207,20.883558,4223,2024-01-25 13:14:35,52.194294,4
729,20.922304,4224,2024-01-25 08:29:39,52.19643,02
122,20.920967,4227,2024-01-25 13:14:34,52.256638,481
207,20.8943264,4231,2024-01-25 13:14:35,52.1924177,3
178,20.9490357,4232,2024-01-25 13:14:35,52.2096922,4
129,20.915216,4233,2024-01-25 13:14:34,52.21637,2
207,20.921634,4234,2024-01-25 11:59:44,52.196463,05
